Timestamp,GPA,Music_With_Homework,Minutes,Music_Type
10/29/2023 23:39:22,3.5,No,10,Upbeat
10/31/2023 16:16:23,4.1,Yes,180,Chill
10/31/2023 16:17:13,4,Yes,60,Upbeat
10/31/2023 16:18:40,3.1,Yes,100,Chill
10/31/2023 16:19:31,2.68,Yes,210,Chill
10/31/2023 16:19:46,3.49,Yes,60,Upbeat
10/31/2023 16:21:00,3.4,Yes,60,Upbeat
10/31/2023 16:21:32,3.7,Yes,180,Chill
10/31/2023 16:21:52,3.14,Yes,120,Upbeat
10/31/2023 16:22:04,3.8,Yes,60,Chill
10/31/2023 16:22:40,3.3,Yes,5,Chill
10/31/2023 16:22:52,3.98,Yes,60,Chill
10/31/2023 16:24:36,3.6,Yes,30,Upbeat
10/31/2023 16:24:59,3.5,Yes,300,Chill
10/31/2023 16:28:15,3,Yes,120,Chill
10/31/2023 9:30:17,3.93,Yes,75,Chill
10/31/2023 9:30:19,3.5,Yes,120,Upbeat
10/31/2023 9:31:36,4,Yes,45,Upbeat
10/31/2023 9:32:28,3,Yes,120,Chill
10/31/2023 9:32:51,4,Yes,60,Upbeat
10/31/2023 9:33:44,2.8,Yes,59,Upbeat
10/31/2023 9:34:13,3,Yes,140,Chill
10/31/2023 9:35:04,3.2,Yes,60,Upbeat
10/31/2023 9:35:42,3.8,Yes,180,Chill
10/31/2023 9:35:57,4,Yes,100,Chill
10/31/2023 9:38:36,3.7,Yes,120,Chill
10/31/2023 9:46:43,3.4,Yes,35,Chill
10/31/2023 9:48:14,3.8,Yes,90,Upbeat
10/31/2023 9:49:49,2,Yes,60,Chill
10/31/2023 9:50:15,3.6,Yes,350,Upbeat
10/31/2023 9:50:16,4,Yes,90,Upbeat
10/31/2023 9:53:17,3.6,Yes,30,Chill
10/31/2023 9:55:13,3.95,Yes,60,Chill
10/31/2023 10:02:30,3.8,Yes,60,Chill
10/31/2023 10:03:56,4,Yes,60,Upbeat
10/31/2023 10:04:02,4,Yes,120,Chill
10/31/2023 10:05:30,3.4,Yes,1,Chill
10/31/2023 10:08:08,4,Yes,60,Chill
10/31/2023 10:08:54,3.93,Yes,200,Upbeat
10/31/2023 10:10:17,2,Yes,20,Upbeat
10/31/2023 10:11:22,3.6,Yes,30,Upbeat
