Date,Open,High,Low,Close,Adj Close,Volume,Day
2013-09-26,45.779999,46.139999,45.75,46.080002,39.625416,58800,0
2013-09-27,45.98,46.259998,45.77,46.150002,39.685604,131100,1
2013-09-30,45.709999,46.25,45.700001,46.029999,39.582424,135300,2
2013-10-01,46.049999,46.869999,46.040001,46.869999,40.30476,266600,3
2013-10-02,46.700001,46.799999,46.52,46.790001,40.235954,220100,4
2013-10-03,46.630001,46.75,46.200001,46.459999,39.952183,92500,5
2013-10-04,46.509998,46.959999,46.470001,46.900002,40.330559,106600,6
2013-10-07,46.650002,46.669998,46.240002,46.25,39.77161,120900,7
2013-10-08,46.200001,46.25,45.25,45.259998,38.920273,203500,8
2013-10-09,45.34,45.419998,44.73,45.07,38.756893,190900,9
2013-10-10,45.619999,46.299999,45.619999,46.299999,39.814606,152900,10
2013-10-11,46.439999,46.639999,46.299999,46.57,40.046772,136300,11
2013-10-14,46.330002,46.77,46.049999,46.77,40.218769,89100,12
2013-10-15,46.599998,46.849998,46.400002,46.419998,39.917786,74800,13
2013-10-16,46.57,47.389999,46.57,47.380001,40.743328,151000,14
2013-10-17,47.299999,48.080002,47.259998,48.07,41.336662,366100,15
2013-10-18,48.34,48.34,47.689999,48.049999,41.319473,249100,16
2013-10-21,48.200001,48.200001,47.389999,47.540001,40.880909,320500,17
2013-10-22,47.860001,48.240002,47.689999,48.119999,41.379673,192100,18
2013-10-23,48.18,48.349998,47.860001,48.349998,41.577465,168600,19
2013-10-24,48.630001,48.630001,48.419998,48.529999,41.732235,200000,20
2013-10-25,48.720001,48.720001,48.189999,48.459999,41.672035,158000,21
2013-10-28,48.619999,48.709999,48.450001,48.610001,41.801033,108400,22
2013-10-29,48.720001,48.990002,48.549999,48.990002,42.127796,128200,23
2013-10-30,49.299999,49.299999,48.02,48.209999,41.457066,260600,24
2013-10-31,48.360001,48.360001,47.830002,47.919998,41.207676,81100,25
2013-11-01,47.959999,48.360001,47.939999,48.32,41.551655,125800,26
2013-11-04,48.490002,48.509998,48.220001,48.490002,41.697842,72500,27
2013-11-05,48.700001,48.959999,48.580002,48.830002,41.990223,108200,28
2013-11-06,49.150002,49.310001,48.18,48.279999,41.517258,242400,29
2013-11-07,48.5,48.740002,47.900002,47.91,41.199081,236300,30
2013-11-08,48.66,49.790001,48.66,49.75,42.781338,231500,31
2013-11-11,49.900002,50.029999,49.669998,50,42.996334,184400,32
2013-11-12,49.990002,50.16,49.810001,50.16,43.133923,88600,33
2013-11-13,50.099998,50.700001,49.869999,50.700001,43.598286,140500,34
2013-11-14,50.810001,51.110001,50.77,51.009998,43.864841,184600,35
2013-11-15,51.139999,51.57,51.009998,51.549999,44.32922,209200,36
2013-11-18,51.82,51.830002,51.080002,51.240002,44.062641,327600,37
2013-11-19,51.290001,51.529999,50.939999,51.34,44.148636,150800,38
2013-11-20,51.5,51.669998,51.240002,51.5,44.286209,133800,39
2013-11-21,51.700001,51.799999,51.43,51.650002,44.415207,477500,40
2013-11-22,52.009998,52.419998,52.009998,52.299999,44.974167,174900,41
2013-11-25,52.610001,52.709999,52.419998,52.59,45.223537,231100,42
2013-11-26,52.810001,52.810001,52.43,52.459999,45.111748,163100,43
2013-11-27,52.779999,52.779999,52.470001,52.560001,45.197739,139200,44
2013-11-29,52.849998,52.849998,52.540001,52.59,45.223537,91200,45
2013-12-02,52.75,52.84,52.560001,52.689999,45.309536,170500,46
2013-12-03,52.799999,52.799999,51.880001,52.119999,44.819378,245300,47
2013-12-04,51.93,52.41,51.610001,52,44.716179,170800,48
2013-12-05,52.290001,52.389999,52.009998,52.169998,44.862366,100000,49
2013-12-06,52.639999,52.889999,52.259998,52.77,45.378326,117800,50
2013-12-09,53.32,53.32,52.619999,52.75,45.361126,203600,51
2013-12-10,52.810001,52.810001,51.919998,52.279999,44.95697,154800,52
2013-12-11,52.43,52.43,51.110001,51.209999,44.036839,161900,53
2013-12-12,51.16,51.490002,51.119999,51.18,44.01104,177700,54
2013-12-13,51.290001,51.299999,50.75,51.200001,44.028236,114300,55
2013-12-16,51.389999,51.810001,51.310001,51.59,44.363609,142100,56
2013-12-17,51.75,51.75,50.900002,51.240002,44.062641,94200,57
2013-12-18,51.490002,52.360001,51.02,52.349998,45.017151,118500,58
2013-12-19,51.970001,52.439999,51.970001,52.369999,45.034351,184300,59
2013-12-20,52.5,53.189999,52.439999,53.040001,45.667187,275900,60
2013-12-23,53.450001,53.509998,53.110001,53.240002,45.839386,296200,61
2013-12-24,53.48,53.48,53,53.25,45.847984,97100,62
2013-12-26,53.279999,53.549999,53.25,53.540001,46.097675,126400,63
2013-12-27,53.75,53.75,53.23,53.299999,45.891045,92800,64
2013-12-30,53.439999,53.5,53.130001,53.459999,46.028797,136800,65
2013-12-31,53.75,53.75,53.200001,53.48,46.046036,111300,66
2014-01-02,53.380001,53.400002,52.919998,53.299999,45.891045,83700,67
2014-01-03,53.419998,53.52,53.240002,53.41,45.98576,103900,68
2014-01-06,53.59,53.650002,52.830002,52.919998,45.563862,185500,69
2014-01-07,53.25,53.360001,53.099998,53.16,45.770508,141000,70
2014-01-08,53.43,54.110001,53.27,54.009998,46.502338,576100,71
2014-01-09,54.009998,54.540001,53.91,54.450001,46.881187,316500,72
2014-01-10,54.790001,55.18,54.349998,55.18,47.50972,196000,73
2014-01-13,55.380001,55.880001,54.700001,54.919998,47.285866,326900,74
2014-01-14,55.240002,56.119999,55.169998,56.07,48.276005,236500,75
2014-01-15,56.25,56.43,55.799999,55.889999,48.121025,257700,76
2014-01-16,55.93,56.240002,55.790001,56.189999,48.379322,721600,77
2014-01-17,56.389999,56.549999,55.950001,56.130001,48.327656,286600,78
2014-01-21,56.709999,56.709999,56,56.68,48.801201,337400,79
2014-01-22,56.790001,56.970001,56.5,56.720001,48.835651,207500,80
2014-01-23,56.59,56.59,55.860001,56.419998,48.577347,373900,81
2014-01-24,56.18,56.18,54.84,54.84,47.21698,367000,82
2014-01-27,54.990002,54.990002,53.23,53.919998,46.424866,640200,83
2014-01-28,54.279999,55.009998,54.18,54.950001,47.311684,346200,84
2014-01-29,54.439999,54.880001,54.099998,54.459999,46.889801,283400,85
2014-01-30,54.889999,55.57,54.889999,55.41,47.707741,330200,86
2014-01-31,54.919998,55.16,54.52,54.689999,47.087818,231500,87
2014-02-03,54.880001,55.119999,53.09,53.209999,45.813557,614300,88
2014-02-04,53.639999,54.009998,53.279999,53.790001,46.312931,314100,89
2014-02-05,53.790001,53.790001,52.529999,53.310001,45.899662,321500,90
2014-02-06,53.439999,53.57,52.799999,52.939999,45.581085,783800,91
2014-02-07,53.23,54.470001,53.23,54.459999,46.889801,289600,92
2014-02-10,54.52,55.419998,54.27,55.389999,47.690517,311100,93
2014-02-11,55.68,56.259998,55.5,56.169998,48.362103,425500,94
2014-02-12,56.59,56.709999,56.209999,56.299999,48.474033,579400,95
2014-02-13,55.709999,56.93,55.599998,56.869999,48.964798,649800,96
2014-02-14,56.950001,57.349998,56.830002,56.98,49.059505,229100,97
2014-02-18,57.950001,58.93,57.869999,58.82,50.64373,365400,98
2014-02-19,58.27,59.23,58.27,58.59,50.445698,255500,99
2014-02-20,58.650002,59.599998,58.5,59.529999,51.255032,311800,100
2014-02-21,59.75,59.880001,59.310001,59.400002,51.14312,333600,101
2014-02-24,59.880001,60.299999,59.599998,59.93,51.599434,318000,102
2014-02-25,60,60.200001,59.57,59.77,51.461697,256800,103
2014-02-26,60,60.349998,59.630001,59.869999,51.547779,235100,104
2014-02-27,59.93,60.48,59.709999,60.299999,51.918003,240200,105
2014-02-28,60.5,60.689999,59.02,59.66,51.36697,324200,106
2014-03-03,58.919998,59.450001,58.389999,59.279999,51.039795,438500,107
2014-03-04,60.119999,60.720001,60,60.59,52.167683,292800,108
2014-03-05,60.779999,60.84,60.310001,60.490002,52.081596,255200,109
2014-03-06,60.82,60.82,59.080002,59.369999,51.117287,448700,110
2014-03-07,59.669998,59.740002,58.360001,59.209999,50.97953,348600,111
2014-03-10,59.220001,59.279999,58.549999,59.279999,51.039795,192000,112
2014-03-11,59.470001,59.779999,58.830002,58.959999,50.764278,231600,113
2014-03-12,58.66,59.150002,58.34,59.139999,50.919254,235100,114
2014-03-13,59.490002,59.619999,58.18,58.470001,50.342381,265100,115
2014-03-14,58.299999,58.900002,58,58.599998,50.454323,161200,116
2014-03-17,59,59.57,58.810001,58.900002,50.712605,209200,117
2014-03-18,59.110001,59.950001,59.02,59.900002,51.573616,207500,118
2014-03-19,60.02,60.16,58.959999,59.419998,51.160324,366600,119
2014-03-20,59.450001,59.450001,58.799999,59.099998,50.884808,158600,120
2014-03-21,59.419998,59.43,57.25,57.349998,49.378082,356100,121
2014-03-24,57.419998,57.580002,55.119999,55.98,48.198505,990600,122
2014-03-25,56.150002,57.200001,55.700001,56.330002,48.49987,282900,123
2014-03-26,56.639999,57.279999,56.099998,56.110001,48.310436,191900,124
2014-03-27,56.09,56.669998,55.169998,56.240002,48.422371,269800,125
2014-03-28,56.279999,56.98,55.259998,55.43,47.72496,200600,126
2014-03-31,55.849998,56.709999,55.709999,56.650002,48.775375,311000,127
2014-04-01,56.919998,57.459999,56.41,56.98,49.059505,263400,128
2014-04-02,57.290001,57.490002,56.799999,57.209999,49.257526,162400,129
2014-04-03,57.200001,57.349998,56.099998,56.599998,48.732323,156300,130
2014-04-04,56.799999,57.43,55.09,55.25,47.569988,405300,131
2014-04-07,55.349998,56.360001,54.57,55.099998,47.440826,665900,132
2014-04-08,55.009998,55.330002,54.119999,55.029999,47.380558,324000,133
2014-04-09,55.099998,56.630001,55.099998,56.619999,48.749557,145500,134
2014-04-10,56.59,56.630001,54.119999,54.459999,46.889801,262100,135
2014-04-11,54,55.080002,53.400002,53.650002,46.192383,602700,136
2014-04-14,53.900002,54.630001,52.959999,53.709999,46.244057,516100,137
2014-04-15,53.91,54.68,52.529999,54.139999,46.614265,259800,138
2014-04-16,54.689999,55.119999,54.189999,55.09,47.432224,149000,139
2014-04-17,55.119999,55.549999,54.759998,55.099998,47.440826,129100,140
2014-04-21,55.450001,56.279999,55.200001,56.279999,48.45681,286000,141
2014-04-22,56.98,57.849998,56.98,57.580002,49.576103,191900,142
2014-04-23,57.720001,57.720001,56.830002,57.200001,49.248924,177000,143
2014-04-24,57.490002,57.68,56.130001,57.299999,49.335026,139800,144
2014-04-25,57.099998,57.369999,56.830002,56.939999,49.02507,118800,145
2014-04-28,57.200001,57.619999,55.950001,56.950001,49.033672,141500,146
2014-04-29,57.200001,57.779999,56.869999,57.66,49.644981,236200,147
2014-04-30,57.43,57.68,57.029999,57.669998,49.653591,93700,148
2014-05-01,57.68,58.34,57.299999,57.880001,49.834404,189600,149
2014-05-02,57.93,58.130001,57.259998,57.540001,49.541664,96800,150
2014-05-05,57.209999,58,56.709999,57.939999,49.886063,175000,151
2014-05-06,57.91,57.98,57.32,57.349998,49.378082,162000,152
2014-05-07,57.25,57.43,56.34,57.220001,49.266148,122700,153
2014-05-08,57.040001,57.799999,56.299999,56.43,48.585968,131200,154
2014-05-09,56.330002,56.599998,55.610001,56.52,48.663456,230100,155
2014-05-12,56.830002,57.470001,56.830002,57.419998,49.438339,112800,156
2014-05-13,57.450001,57.790001,57.349998,57.389999,49.412518,105300,157
2014-05-14,57.330002,57.669998,56.959999,57.32,49.352245,152300,158
2014-05-15,57.060001,57.139999,56.360001,56.91,48.999237,127400,159
2014-05-16,56.900002,57.130001,56.540001,57.07,49.136993,109200,160
2014-05-19,57.060001,57.700001,56.959999,57.560001,49.558884,119100,161
2014-05-20,57.529999,57.580002,56.950001,57.209999,49.257526,62700,162
2014-05-21,57.419998,57.790001,57.310001,57.720001,49.69664,86500,163
2014-05-22,57.889999,58.75,57.619999,58.450001,50.325184,114500,164
2014-05-23,58.43,58.869999,58.32,58.740002,50.574863,159200,165
2014-05-27,58.959999,59.330002,58.959999,59.330002,51.08284,135800,166
2014-05-28,59.509998,59.529999,58.959999,59.060001,50.850376,108500,167
2014-05-29,59.279999,59.41,59.09,59.23,50.99675,71900,168
